frame,body_id,x,y,vx,vy,mass
45,5,2.4664,47.4482,3.36528,103.438,1
46,0,1.94514,-43.3693,2.01153,-96.4964,1
46,1,1.95802,2.67517,2.07804,-0.878951,1
46,2,1.85603,6.48454,1.65467,0.866122,1
46,3,3.93268,1.48475,1.98222,1.06444,1
46,4,6.44808,1.94225,0.908272,2.00712,1
46,5,2.50005,48.4826,3.36528,103.438,1
47,0,1.96526,-44.3342,2.01153,-96.4964,1
47,1,1.97882,2.66638,2.08011,-0.879311,1
47,2,1.87258,6.49319,1.65499,0.864952,1
47,3,3.9525,1.49541,1.98198,1.066,1
47,4,6.45714,1.96232,0.906119,2.00709,1
47,5,2.5337,49.5169,3.36528,103.438,1
48,0,1.98537,-45.2992,2.01153,-96.4963,1
48,1,1.99964,2.65758,2.0822,-0.879674,1
48,2,1.88914,6.50183,1.65531,0.863787,1
48,3,3.97231,1.50609,1.98173,1.06757,1
48,4,6.46618,1.98239,0.903951,2.00705,1
48,5,2.56736,50.5513,3.36528,103.438,1
49,0,2.00549,-46.2642,2.01153,-96.4963,1
49,1,2.02048,2.64878,2.08432,-0.880037,1
49,2,1.90569,6.51046,1.65563,0.862628,1
49,3,3.99213,1.51678,1.98147,1.06914,1
49,4,6.4752,2.00246,0.90177,2.00701,1
49,5,2.60101,51.5857,3.36528,103.438,1
50,0,2.0256,-47.2291,2.01153,-96.4963,1
50,1,2.04135,2.63997,2.08647,-0.880402,1
50,2,1.92225,6.51907,1.65596,0.861474,1
50,3,4.01194,1.52749,1.98119,1.07072,1
50,4,6.48419,2.02253,0.899575,2.00695,1
50,5,2.63466,52.6201,3.36528,103.438,1
51,0,2.04572,-48.1941,2.01153,-96.4963,1
51,1,2.06224,2.63117,2.08864,-0.880767,1
51,2,1.93881,6.52768,1.65628,0.860325,1
51,3,4.03175,1.53821,1.9809,1.0723,1
51,4,6.49317,2.0426,0.897366,2.00688,1
51,5,2.66831,53.6544,3.36528,103.438,1
52,0,2.06583,-49.1591,2.01153,-96.4963,1
52,1,2.08314,2.62236,2.09084,-0.881131,1
52,2,1.95538,6.53627,1.65661,0.859182,1
52,3,4.05155,1.54895,1.9806,1.07389,1
52,4,6.50212,2.06267,0.895144,2.0068,1
52,5,2.70197,54.6888,3.36528,103.438,1
53,0,2.08595,-50.124,2.01153,-96.4962,1
53,1,2.10407,2.61354,2.09306,-0.881495,1
53,2,1.97195,6.54485,1.65694,0.858044,1
53,3,4.07136,1.55971,1.98028,1.07549,1
53,4,6.51105,2.08273,0.892907,2.00671,1
53,5,2.73562,55.7232,3.36528,103.438,1
54,0,2.10607,-51.089,2.01153,-96.4962,1
54,1,2.12503,2.60472,2.09532,-0.881858,1
54,2,1.98852,6.55342,1.65727,0.856911,1
54,3,4.09116,1.57048,1.97995,1.07709,1
54,4,6.51995,2.1028,0.890655,2.0066,1
54,5,2.76927,56.7576,3.36528,103.437,1
55,0,2.12618,-52.0539,2.01153,-96.4962,1
55,1,2.146,2.5959,2.09759,-0.882219,1
55,2,2.0051,6.56198,1.6576,0.855783,1
55,3,4.11095,1.58126,1.9796,1.07869,1
55,4,6.52884,2.12286,0.88839,2.00649,1
55,5,2.80292,57.7919,3.36528,103.437,1
56,0,2.1463,-53.0189,2.01153,-96.4962,1
56,1,2.167,2.58707,2.0999,-0.882578,1
56,2,2.02168,6.57052,1.65794,0.85466,1
56,3,4.13075,1.59207,1.97924,1.0803,1
56,4,6.5377,2.14293,0.886111,2.00636,1
56,5,2.83658,58.8263,3.36528,103.437,1
57,0,2.16641,-53.9839,2.01153,-96.4962,1
57,1,2.18803,2.57824,2.10223,-0.882934,1
57,2,2.03826,6.57906,1.65827,0.853542,1
57,3,4.15053,1.60289,1.97886,1.08191,1
57,4,6.54654,2.16299,0.883818,2.00622,1
57,5,2.87023,59.8607,3.36528,103.437,1
58,0,2.18653,-54.9488,2.01153,-96.4962,1
58,1,2.20907,2.56941,2.10459,-0.883287,1
58,2,2.05485,6.58758,1.65861,0.852429,1
58,3,4.17032,1.61372,1.97847,1.08353,1
58,4,6.55535,2.18305,0.88151,2.00607,1
58,5,2.90388,60.8951,3.36528,103.437,1
59,0,2.20664,-55.9138,2.01154,-96.4962,1
59,1,2.23014,2.56058,2.10698,-0.883636,1
59,2,2.07144,6.59609,1.65894,0.85132,1
59,3,4.1901,1.62457,1.97807,1.08515,1
59,4,6.56415,2.20311,0.879189,2.00591,1
59,5,2.93754,61.9294,3.36528,103.437,1
60,0,2.22676,-56.8788,2.01154,-96.4962,1
60,1,2.25124,2.55174,2.1094,-0.883981,1
60,2,2.08803,6.6046,1.65928,0.850216,1
60,3,4.20988,1.63544,1.97765,1.08678,1
60,4,6.57291,2.22317,0.876853,2.00573,1
60,5,2.97119,62.9638,3.36528,103.437,1
61,0,2.24687,-57.8437,2.01154,-96.4961,1
61,1,2.27235,2.54289,2.11184,-0.88432,1
61,2,2.10463,6.61309,1.65963,0.849117,1
61,3,4.22965,1.64632,1.97721,1.0884,1
61,4,6.58166,2.24322,0.874503,2.00554,1
61,5,3.00484,63.9982,3.36528,103.437,1
62,0,2.26699,-58.8087,2.01154,-96.4961,1
62,1,2.2935,2.53405,2.11431,-0.884654,1
62,2,2.12123,6.62157,1.65997,0.848022,1
62,3,4.24942,1.65722,1.97676,1.09003,1
62,4,6.59038,2.26328,0.87214,2.00534,1
62,5,3.03849,65.0326,3.36528,103.437,1
63,0,2.2871,-59.7736,2.01154,-96.4961,1
63,1,2.31466,2.5252,2.11681,-0.884981,1
63,2,2.13783,6.63004,1.66031,0.846931,1
63,3,4.26918,1.66814,1.9763,1.09167,1
63,4,6.59908,2.28333,0.869761,2.00513,1
63,5,3.07215,66.0669,3.36528,103.437,1
64,0,2.30722,-60.7386,2.01154,-96.4961,1
64,1,2.33586,2.51634,2.11934,-0.885302,1
64,2,2.15444,6.6385,1.66066,0.845845,1
64,3,4.28894,1.67907,1.97582,1.0933,1
64,4,6.60775,2.30338,0.867369,2.0049,1
64,5,3.1058,67.1013,3.36528,103.437,1
65,0,2.32733,-61.7036,2.01154,-96.4961,1
65,1,2.35708,2.50749,2.1219,-0.885615,1
65,2,2.17105,6.64694,1.661,0.844763,1
65,3,4.30869,1.69002,1.97532,1.09494,1
65,4,6.6164,2.32342,0.864963,2.00465,1
65,5,3.13945,68.1357,3.36528,103.437,1
66,0,2.34745,-62.6685,2.01154,-96.4961,1
66,1,2.37832,2.49863,2.12448,-0.88592,1
66,2,2.18766,6.65538,1.66135,0.843685,1
66,3,4.32844,1.70099,1.97481,1.09658,1
66,4,6.62503,2.34347,0.862543,2.0044,1
66,5,3.17311,69.1701,3.36528,103.437,1
67,0,2.36756,-63.6335,2.01154,-96.4961,1
67,1,2.39959,2.48977,2.12709,-0.886216,1
67,2,2.20428,6.66381,1.6617,0.842612,1
67,3,4.34818,1.71197,1.97428,1.09822,1
67,4,6.63363,2.36351,0.860108,2.00412,1
67,5,3.20676,70.2044,3.36528,103.437,1
68,0,2.38768,-64.5984,2.01154,-96.4961,1
68,1,2.42089,2.4809,2.12973,-0.886503,1
68,2,2.2209,6.67222,1.66205,0.841542,1
68,3,4.36792,1.72297,1.97374,1.09987,1
68,4,6.6422,2.38355,0.85766,2.00384,1
68,5,3.24041,71.2388,3.36528,103.437,1
69,0,2.4078,-65.5634,2.01154,-96.4961,1
69,1,2.44221,2.47203,2.1324,-0.886779,1
69,2,2.23752,6.68063,1.66241,0.840476,1
69,3,4.38765,1.73399,1.97318,1.10151,1
69,4,6.65076,2.40358,0.855198,2.00354,1
69,5,3.27406,72.2732,3.36528,103.437,1
70,0,2.42791,-66.5284,2.01154,-96.4961,1
70,1,2.46356,2.46316,2.1351,-0.887045,1
70,2,2.25415,6.68902,1.66276,0.839415,1
70,3,4.40738,1.74502,1.9726,1.10315,1
70,4,6.65928,2.42361,0.852721,2.00322,1
70,5,3.30772,73.3076,3.36528,103.437,1
71,0,2.44803,-67.4933,2.01154,-96.496,1
71,1,2.48494,2.45429,2.13782,-0.8873,1
71,2,2.27078,6.6974,1.66312,0.838357,1
71,3,4.4271,1.75606,1.97201,1.1048,1
71,4,6.66779,2.44364,0.850231,2.00289,1
71,5,3.34137,74.3419,3.36528,103.437,1
72,0,2.46814,-68.4583,2.01154,-96.496,1
72,1,2.50635,2.44541,2.14057,-0.887543,1
72,2,2.28741,6.70578,1.66348,0.837303,1
